ID,Titolo,Descrizione,Foto,Vani,MetriQuadri,Latitudine,Longitudine,Comune,Città,Provincia,Nazione
1,Appartamento Centrale,"Appartamento luminoso in centro città","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",3,80,45.4642,9.1900,Centro,Milano,MI,Italia
2,Villa con Giardino,"Villa spaziosa con ampio giardino privato","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",6,200,41.9028,12.4964,Trastevere,Roma,RM,Italia
3,Monolocale Moderno,"Monolocale arredato vicino all'università","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",1,35,44.4949,11.3426,San Donato,Bologna,BO,Italia
4,Attico Panoramico,"Attico con vista panoramica sulla città","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",4,120,40.8518,14.2681,Chiaia,Napoli,NA,Italia
5,Casa Rustica,"Casa rustica immersa nel verde","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",5,150,43.7696,11.2558,Settignano,Firenze,FI,Italia
6,Bilocale Accogliente,"Bilocale recentemente ristrutturato","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",2,55,45.0703,7.6869,San Salvario,Torino,TO,Italia
7,Loft Industriale,"Loft in stile industriale con soppalco","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",2,70,45.4384,10.9916,Centro,Verona,VR,Italia
8,Appartamento Vista Mare,"Appartamento con terrazza vista mare","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",3,90,44.4056,8.9463,Boccadasse,Genova,GE,Italia
9,Trilocale Familiare,"Trilocale ideale per famiglie","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",3,85,45.4064,11.8768,Arcella,Padova,PD,Italia
10,Attico di Lusso,"Attico di lusso con piscina privata","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",5,180,45.4654,9.1866,Brera,Milano,MI,Italia
11,Appartamento Elegante,"Appartamento elegante in zona residenziale","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",4,110,45.4780,9.2270,Porta Romana,Milano,MI,Italia
12,Villa Storica,"Villa storica con parco secolare","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",8,350,43.7228,10.4017,Centro,Pisa,PI,Italia
13,Monolocale Economico,"Monolocale economico vicino ai servizi","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",1,28,45.6495,13.7768,Barriera Nuova,Trieste,TS,Italia
14,Attico Moderno,"Attico moderno con terrazza panoramica","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",4,130,45.4384,12.3271,San Marco,Venezia,VE,Italia
15,Casa Indipendente,"Casa indipendente con giardino","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",6,160,44.4949,11.3426,San Vitale,Bologna,BO,Italia
16,Bilocale Centrale,"Bilocale in centro storico","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",2,60,45.0703,7.6869,Centro,Torino,TO,Italia
17,Loft Artistico,"Loft artistico open space","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",2,75,45.4384,10.9916,San Zeno,Verona,VR,Italia
18,Appartamento Panoramico,"Appartamento con vista sulle colline","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",3,95,43.7696,11.2558,Bellariva,Firenze,FI,Italia
19,Trilocale Moderno,"Trilocale moderno e luminoso","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",3,88,45.4064,11.8768,Guizza,Padova,PD,Italia
20,Attico Esclusivo,"Attico esclusivo con terrazza privata","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",5,200,45.4654,9.1866,Isola,Milano,MI,Italia
21,Appartamento Nuovo,"Appartamento di nuova costruzione","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",3,82,41.9028,12.4964,Monti,Roma,RM,Italia
22,Villa Panoramica,"Villa panoramica sulle colline","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",7,250,44.4056,8.9463,Albaro,Genova,GE,Italia
23,Monolocale Centrale,"Monolocale in pieno centro","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",1,32,45.4642,9.1900,Centro,Milano,MI,Italia
24,Attico con Solarium,"Attico con solarium e jacuzzi","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",4,140,40.8518,14.2681,Posillipo,Napoli,NA,Italia
25,Casa a Schiera,"Casa a schiera su tre livelli","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",5,145,43.7696,11.2558,Gavinana,Firenze,FI,Italia
26,Bilocale Vista Fiume,"Bilocale con vista sul fiume","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",2,58,45.0703,7.6869,Borgo Dora,Torino,TO,Italia
27,Loft Minimal,"Loft minimalista open space","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",2,72,45.4384,10.9916,Borgo Trento,Verona,VR,Italia
28,Appartamento Signorile,"Appartamento signorile in palazzo d'epoca","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",4,115,44.4056,8.9463,Castelletto,Genova,GE,Italia
29,Trilocale Ristrutturato,"Trilocale completamente ristrutturato","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",3,87,45.4064,11.8768,Centro,Padova,PD,Italia
30,Attico con Piscina,"Attico con piscina e terrazza panoramica","https://plus.unsplash.com/premium_photo-1689609950112-d66095626efb?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",5,210,45.4654,9.1866,Porta Venezia,Milano,MI,Italia